name,category,address,zip,phone,hours,lat,lng
"Interfaith Medical Center",Health Care,"1545 Atlantic Avenue, Brooklyn, NY",11213,718-613-4000,,40.6771,-73.9271
"Woodhull Medical and Mental Health Center",Health Care,"760 Broadway, Brooklyn, NY",11206,718-963-8000,,40.7014,-73.9443
"Bedford-Stuyvesant Family Health Center (Fulton)",Health Care,"1413 Fulton Street, Brooklyn, NY",11216,718-636-4500,,40.6806,-73.9543
"Bedford-Stuyvesant Family Health Center (Kingston)",Health Care,"1456 Fulton Street, Brooklyn, NY",11216,718-636-4500,,40.6806,-73.9516
"Total Family Medical Care",Health Care,"1074 DeKalb Avenue, Brooklyn, NY",11221,718-452-6013,,40.6900,-73.9370
"Bedford Stuyvesant Volunteer Ambulance Corps",Health Care,"727 Greene Avenue, Brooklyn, NY",11221,718-453-4617,,40.6844,-73.9388
"SUNY Downstate Medical Center",Health Care,"450 Clarkson Avenue, Brooklyn, NY",11203,718-270-1000,,40.6550,-73.9440
"Kings County Hospital Center",Health Care,"451 Clarkson Avenue, Brooklyn, NY",11203,718-245-3131,,40.6549,-73.9437
"Brooklyn Hospital Center",Health Care,"121 DeKalb Avenue, Brooklyn, NY",11201,718-250-8000,,40.6906,-73.9766
"79th Precinct",Police,"263 Tompkins Avenue, Brooklyn, NY",11221,718-636-6611,"Community Council: 4th Wed of month 7pm at 585 DeKalb Ave",40.6955,-73.9334
"81st Precinct",Police,"30 Ralph Avenue, Brooklyn, NY",11221,718-574-0411,"Community Council: 2nd Tue of month 7pm at 794 Monroe St",40.6883,-73.9215
"83rd Precinct",Police,"480 Knickerbocker Avenue, Brooklyn, NY",11237,718-574-1605,"Community Council: 3rd Tue of month 7:30pm",40.6926,-73.9146
"88th Precinct",Police,"298 Classon Avenue, Brooklyn, NY",11205,718-636-6511,"Community Council: 3rd Tue of month 7:30pm",40.6884,-73.9639
"Engine 277 / Ladder 112",Fire Department,"582 Knickerbocker Avenue, Brooklyn, NY",11221,,,40.6965,-73.9146
"Engine 218",Fire Department,"650 Hart Street, Brooklyn, NY",11221,,,40.6971,-73.9332
"Engine 217",Fire Department,"940 DeKalb Avenue, Brooklyn, NY",11221,,,40.6906,-73.9264
"Engine 222 / Battalion 37",Fire Department,"32 Ralph Avenue, Brooklyn, NY",11221,,,40.6883,-73.9216
"Engine 210",Fire Department,"160 Carlton Avenue, Brooklyn, NY",11205,,,40.6878,-73.9664
"Engine 230",Fire Department,"701 Park Avenue, Brooklyn, NY",11206,,,40.7003,-73.9443
"Engine 235 / Battalion 57",Fire Department,"206 Monroe Street, Brooklyn, NY",11216,,,40.6849,-73.9562
"Engine 214 / Ladder 111",Fire Department,"495 Hancock Street, Brooklyn, NY",11233,,,40.6913,-73.9207
"Engine 227",Fire Department,"423 Ralph Avenue, Brooklyn, NY",11233,,,40.6872,-73.9215
